query_image,category,color_p5,color_p10,glcm_p5,glcm_p10,hu_p5,hu_p10,orb_p5,orb_p10
processed_dataset\motorcycle\b140425c-0601-43ce-a703-9f32736b1aad.jpg,motorcycle,0.4,0.2,0.6,0.4,0.6,0.6,0.2,0.1
processed_dataset\motorcycle\b00ee21b-2e39-4dac-9ff9-a41f838b854b.jpg,motorcycle,0.4,0.2,0.4,0.4,0.4,0.2,0.0,0.0
processed_dataset\motorcycle\Image_43.jpg,motorcycle,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0
processed_dataset\motorcycle\9051c0f8-85a3-40e8-a3f6-1d9edcc26b10.jpg,motorcycle,0.4,0.2,0.0,0.0,0.0,0.3,0.0,0.0
processed_dataset\motorcycle\1ef46a8a-7a4f-4f78-92ec-837c9d1e4d02.jpg,motorcycle,0.8,0.4,0.2,0.3,0.8,0.4,0.4,0.3
processed_dataset\motorcycle\Image_81.jpg,motorcycle,0.4,0.3,0.4,0.5,0.4,0.2,0.0,0.0
processed_dataset\motorcycle\f13ae453-cfd3-408e-b260-98ba0337b03f.jpg,motorcycle,0.2,0.4,0.2,0.1,0.0,0.1,0.0,0.0
processed_dataset\motorcycle\Image_21.jpg,motorcycle,0.2,0.1,0.4,0.2,0.0,0.0,0.0,0.0
processed_dataset\motorcycle\48d31963-62ff-4a4c-a857-c8cdc672714d.jpg,motorcycle,0.6,0.8,0.6,0.5,0.0,0.1,0.0,0.3
processed_dataset\motorcycle\bb5479e7-0837-4b77-b171-c72c6cd9a342.jpg,motorcycle,0.4,0.4,0.0,0.0,0.0,0.1,0.0,0.1
processed_dataset\tractor\2T3M6B1DYMBC.jpg,tractor,0.4,0.2,0.4,0.3,0.2,0.1,0.4,0.3
processed_dataset\tractor\MK2Z8RXPZ9Z7.jpg,tractor,0.0,0.0,0.4,0.3,0.2,0.1,0.0,0.0
processed_dataset\tractor\AH3ENC9PKPWM.jpg,tractor,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
processed_dataset\tractor\PLCHH6HYNQ05.jpg,tractor,0.8,0.7,0.0,0.2,0.2,0.1,0.4,0.2
