Algorithm,Average Precision@5,Average Precision@10
Color Histogram,0.26,0.22
GLCM,0.23333333333333334,0.2177777777777778
Hu Moments,0.15555555555555556,0.14666666666666667
ORB,0.26666666666666666,0.24555555555555558
